,Unnamed: 0,SGA_ID_1,GALAXY,RA_LEDA,DEC_LEDA,MORPHTYPE,PA_LEDA,D25_LEDA,BA_LEDA,Z_LEDA,SB_D25_LEDA,FLUX_G,FLUX_R,FLUX_Z,FLUX_W1,FLUX_W2,FLUX_W3,FLUX_W4,DIST,LUM_W1,LUM_W2,LUM_W3,LUM_W4
159281,307828,1196899.0,SDSSJ155105.11+345620.2,237.7712865,34.9389506,,5.19,0.3698282,0.33036953,0.055769913,24.95948,48.406498,88.67495,129.25728,97.67548,59.967644,289.25897,747.62756,248.96912293353,1196951443.6775768,755453896.2918178,3323070152.78089,9175856599.896187
64279,132816,1395384.0,PGC750119,29.183334,-27.7695833,,46.5,0.47863013,0.27542287,0.08612725,24.87848,112.87794,267.26346,530.51184,605.1894,440.94556,1417.0887,2180.9863,392.73656742212023,18454147719.598747,13822533588.46882,39899615992.081276,66031772441.15277
33481,69040,746457.0,PGC1772321,220.8681405,26.3366875,S?,43.59,0.5395106,0.30902955,0.051525977,25.27248,87.83971,199.44249,411.36673,540.58655,369.79526,1247.3492,1709.4458,229.32486270698584,5620403821.942243,3952424880.047046,11961597754.23377,17605718813.770115
133944,265448,15464.0,SDSSJ110423.61+552751.4,166.098366,55.464243,S?,71.02,0.51760685,0.4226686,0.049962565,25.10148,84.75682,135.18082,175.43007,98.9358,53.2067,54.755802,742.1163,222.11663736447395,964974084.3177536,533492727.94404507,376700572.76757926,7248300848.234034
42773,87864,551016.0,SDSSJ140104.92+510410.7,210.2705085,51.0696439,Sc,5.24,0.74131024,0.34276778,0.040642116,25.376482,164.66492,242.06815,301.17252,182.31567,111.32219,443.02277,116.60108,179.4638998024044,1160855596.6563442,728678479.0804796,2611574761.1576986,680811317.8578784
103771,213243,731123.0,PGC1505291,226.262703,16.2903785,E?,31.18,0.5011872,0.25118864,0.052952297,25.346481,74.75022,170.38857,364.6613,443.22693,299.77173,1027.2139,1230.7969,235.91440096739186,4876801115.091005,3390779736.261674,10428221683.625223,13379964356.38395
95230,198039,830436.0,PGC2345340,175.284789,49.5181504,SBcd,34.12,0.4988845,0.48977882,0.024151707,24.81448,104.52905,181.79762,243.77841,153.22139,88.65564,275.53,852.34314,105.35527215084268,336226503.6351612,199994897.6420975,545951546.7666248,1867836734.6975896
83989,177917,482407.0,PGC1895263,218.86962900000003,30.2252578,S?,84.35,0.7568329,0.21877615,0.062466547,25.59448,126.07004,285.8242,581.17017,838.56287,625.97723,2741.0886,3094.4443,280.195069233375,13015372606.260786,9988022520.733202,40098081603.7798,47705511304.01309
38861,80028,996655.0,PGC1446224,346.291899,13.9900917,E?,65.5,0.48194784,0.4466836,0.08014311,24.795483,103.45554,298.65808,739.08484,925.3987,622.5432,1815.1534,3146.2532,363.95018905242625,24233312550.620167,16759204189.933596,43268569088.32376,81723166883.85771
152121,295293,908891.0,PGC2050871,118.1879805,34.5496246,S?,129.75,0.62373483,0.4677351,0.07105349,24.804482,170.16545,464.4167,1004.2945,1239.063,799.5213,1568.4427,2738.8906,320.64206789252154,25184561295.39798,16705944708.62397,27607932285.510765,54698503069.85433
93559,195144,906656.0,PGC1095083,228.7759275,-2.3302884,Sc,44.36,0.58748937,0.28840312,0.05201265,24.99148,129.56642,279.42422,538.8749,777.60065,551.71936,3415.8665,6318.301,231.57183707362552,8243812336.021904,6012979256.809571,34579124788.80322,67117521736.50381
62090,127652,798174.0,PGC3283638,160.58818200000002,1.9177351,,100.47,0.4017908,0.2529298,0.09850147,25.85848,34.111427,54.57869,79.23848,49.972397,25.435225,75.23123,230.83992,452.94632942030916,2026859620.5393898,1060544931.8990085,2703128631.731874,9329819000.935036
207630,390426,197626.0,SDSSJ160617.16+041924.4,241.5715365,4.323436,Sc,1.96,0.54701596,0.3069022,0.061672,25.268482,88.20713,157.26576,256.7737,191.12888,112.16251,467.85394,604.4353,276.47556885316646,2888283607.9917626,1742453672.3724527,6548903980.830314,9048156655.060371
152465,295822,1369193.0,SDSSJ095153.05+553515.9,147.97095149999998,55.58775309999999,S?,152.47,0.3698282,0.5382698,0.04609722,24.867481,52.871574,90.20145,119.00432,72.99306,40.23094,96.15031,201.74234,204.36121678788373,602668552.1545324,341473605.173564,691366969.8338212,1645544357.0561829
98534,204224,101087.0,PGC2176425,128.11497,41.1467178,S?,43.15,0.5984116,0.30902955,0.024435237,25.081482,107.08263,239.306,459.31442,421.55637,241.77841,667.7982,605.1429,106.61469613460328,947304942.2042793,558536634.8884437,1337217703.4664235,1316544969.5163589
165507,318711,563517.0,SDSSJ151354.24+061256.8,228.4760955,6.2157778,S?,0.24,0.64120954,0.19275251,0.051508296,25.652481,82.232666,143.85767,255.55774,271.94055,190.87498,1081.0765,2472.2998,229.24325732932755,2825316547.3237753,2038647533.2907534,10682431525.123705,25756844455.16275
1310,2312,209482.0,PGC1523652,206.7849315,17.0599057,Scd,63.08,0.5345644,0.29785162,0.040574737,24.80948,120.601555,213.78267,333.12805,226.86429,142.26204,454.98904,739.982,179.1575590243529,1439582019.5325553,928024208.4965231,2633238746.693844,4654116168.896231
125975,251485,363100.0,SDSSJ144929.25+231121.3,222.3719985,23.189288,S?,165.27,0.45708823,0.39810717,0.08850789,24.906483,78.18116,147.97707,260.63968,202.09091,159.80714,706.3072,2117.8386,404.2487140964806,6528960989.405658,5307542413.759602,21577922571.355034,68669000121.18885
44908,92514,542242.0,PGC027152,143.38501799999997,66.1920409,E,133.15,0.4709773,0.76913047,0.074446835,24.947481,86.62121,294.88702,717.31976,802.37836,482.34647,128.5438,181.9381,336.7508068423655,17988564065.08647,11116713020.538017,13216536.474925518,3055296286.4472713
159237,307744,1137210.0,PGC199932,8.637250499999999,-38.0985833,,52.0,0.61659503,0.4677351,0.07529542,24.78848,256.19092,544.2492,950.7726,766.6474,486.8978,1273.8413,1987.0321,340.79019604025365,17602317564.46433,11492433434.370287,26198241870.748005,45006101779.7786
203610,382896,1262542.0,SDSSJ102530.51+120350.0,156.377127,12.063921,,141.68,0.33651158,0.35809642,0.08763262,24.82748,48.84787,92.43535,159.83812,131.4807,85.716896,338.5466,268.27454,400.01216693209346,4159186645.7339807,2787486920.744287,9954057276.101767,8319578286.831214
101237,208993,304732.0,SDSSJ123356.49+143839.0,188.4853305,14.644209599999998,S?,0.0,0.41073632,0.34433553,0.08179792,24.964296,60.83713,102.10998,144.02415,96.60741,54.617657,101.44103,617.9814,371.888846285448,2641415642.21226,1535180241.1114562,2330803308.937932,16897192529.875534
147105,287002,1346099.0,PGC068037,331.6028023895301,17.43390434448805,Sc,123.75,0.8491805,0.104231745,0.034302395,24.873482,234.65556,418.47638,698.9639,561.6554,362.04492,1490.5564,3294.4727,150.76677356833738,2523952751.660257,1672529320.7327716,6238030214.710173,14792689857.29036
139973,275000,1203122.0,PGC2124522,162.73089900000002,38.3483884,E?,65.78,0.34673685,0.4786301,0.07353854,24.942482,42.275414,94.6983,184.74188,258.76025,183.62206,749.9605,727.178,332.43207162560293,5653317724.034915,4124114243.5039673,15341474088.593096,15700627188.688534
52753,108221,722019.0,PGC1028547,54.1347825,-6.7983882,E?,116.76,0.674528,0.19678864,0.07148245,25.536482,89.79944,237.89374,601.7049,766.1124,523.97064,1560.3663,2514.6477,322.67450828737356,15769640961.789217,11087567234.56473,29332478075.71341,51309987523.578224
99732,206399,489254.0,SDSSJ140837.30+135250.8,212.1554055,13.8807932,,44.52,0.49090785,0.22284351,0.08672733,25.64348,48.760983,88.2469,145.1701,135.88214,86.95732,425.7946,1025.7117,395.63517343365146,4204866074.2193737,2766278724.0248084,12391023850.520433,31786202653.736355
13740,27811,377268.0,PGC2120111,119.03825100000002,38.1839785,E?,0.46,0.37931496,0.45708817,0.08524564,25.019482,55.924076,147.9784,324.1309,450.19244,291.8638,704.5151,1167.2012,388.4820130008878,13431979756.586536,8952041018.855188,18705007108.476902,34354456131.46964
